Country,"# Racist","Avg. year formed","% still active"
"United States",140,2007,48.6%
Germany,98,2003,51.0%
France,79,2004,34.2%
Brazil,63,2007,60.3%
Canada,46,2007,43.5%
Finland,44,2008,63.6%
Italy,38,2006,44.7%
Argentina,35,2011,77.1%
Mexico,32,2010,65.6%
Sweden,32,2004,37.5%
Poland,24,2000,37.5%
Greece,22,2001,31.8%
"United Kingdom",20,2008,30.0%
Russia,19,2006,31.6%
International,17,2015,70.6%
Netherlands,16,2005,31.3%
Belgium,15,2002,26.7%
Unknown,13,2011,76.9%
Colombia,13,2009,69.2%
Australia,13,2004,30.8%
Chile,12,2009,75.0%
Spain,12,2008,58.3%
Portugal,12,2004,100.0%
Peru,11,2011,72.7%
Malaysia,9,2009,55.6%
Norway,8,2003,50.0%
Slovakia,7,2002,28.6%
Ukraine,6,2007,50.0%
Switzerland,6,2001,50.0%
Hungary,6,2002,16.7%
